icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
aad981,AAL785  ,United States,1784797435.0,1784797435,7.267,45.4737,10058.4,False,224.44,261.96,0.0,,10485.12,5752,False,0,2026-07-23 09:04:03.321935
3cc004,UNI131  ,Germany,1784797367.0,1784797367,-4.4546,36.6428,190.5,False,64.13,311.75,-3.58,,320.04,3376,False,0,2026-07-23 09:04:03.321935
01023f,RSX5009 ,Egypt,1784797435.0,1784797435,30.7148,38.4293,10972.8,False,242.34,351.58,0.0,,11582.4,6120,False,0,2026-07-23 09:04:03.321935
86803b,SKY156  ,Japan,1784797435.0,1784797435,136.4232,35.1952,9540.24,False,247.21,58.79,8.13,,10203.18,,False,0,2026-07-23 09:04:03.321935
49d2d6,VAA020  ,Czech Republic,1784797435.0,1784797435,42.4926,42.0306,3954.78,False,110.52,264.93,0.0,,4114.8,7056,False,0,2026-07-23 09:04:03.321935
aa5bc5,CMB459  ,United States,1784797435.0,1784797435,9.1141,49.4953,7315.2,False,242.08,67.9,0.0,,7513.32,6433,False,0,2026-07-23 09:04:03.321935
86803e,SKY018  ,Japan,1784797434.0,1784797435,140.0284,35.1675,3093.72,False,123.0,271.68,0.0,,3253.74,2115,False,0,2026-07-23 09:04:03.321935
49d2d8,AAO56   ,Czech Republic,1784797435.0,1784797435,11.3191,44.7307,5791.2,False,119.54,256.56,0.0,,6050.28,7355,False,0,2026-07-23 09:04:03.321935
399a63,FHGTD   ,France,1784797434.0,1784797435,5.5017,43.4751,861.06,False,65.24,127.95,2.6,,960.12,6110,False,0,2026-07-23 09:04:03.321935
010242,MSR222  ,Egypt,1784797430.0,1784797435,32.5395,29.5776,6720.84,False,240.02,122.84,5.53,,7216.14,2741,False,0,2026-07-23 09:04:03.321935
40643a,EZY27DV ,United Kingdom,1784797435.0,1784797435,-2.9781,52.4832,6926.58,False,209.42,181.13,-10.73,,7360.92,6242,False,0,2026-07-23 09:04:03.321935
39b4e3,FHNHD   ,France,1784797297.0,1784797297,0.7205,47.4268,,True,1.54,286.88,,,,,False,0,2026-07-23 09:04:03.321935
4b8399,0000    ,Turkey,1784797434.0,1784797434,27.4788,37.5417,4587.24,False,66.97,121.49,0.33,,4815.84,1650,False,0,2026-07-23 09:04:03.321935
